,VaR 95%,VaR 99%
Parametric (2024-2025),216.8045685458708,312.2270608892048
Historical (2024-2025),211.3926988596621,418.1166612856724
MC Normal (2024-2025),217.4361072715871,311.4778090598105
MC t-Student (2024-2025),204.84145155597014,351.4586562013627
Parametric (2015-2025),230.85561985527076,330.6605601898832
Historical (2015-2025),228.14208978292552,413.9845582127202
MC Normal (2015-2025),232.1951522233653,333.6632681426207
MC t-Student (2015-2025),218.872784855459,374.85238420616935
