,VaR 95%,VaR 99%
Parametric (2024-2025),188.56754595448328,268.6058286732087
Historical (2024-2025),188.43929067950447,309.21045852332867
MC Normal (2024-2025),188.5518568603157,268.7207713730198
MC t-Student (2024-2025),178.02051934161022,299.95302177708567
Parametric (2015-2025),204.00683152187503,290.0232511972969
Historical (2015-2025),194.76779218556194,341.379901214663
MC Normal (2015-2025),205.53093031106383,291.6911247006208
MC t-Student (2015-2025),193.63128552713647,323.801753206645
