,VaR 95%,VaR 99%
Parametric (2024-2025),2296.672830327395,3272.5369542811945
Historical (2024-2025),2180.7227833294032,3719.213137280081
MC Normal (2024-2025),2294.718928129547,3284.4276530335383
MC t-Student (2024-2025),2127.311506571374,3698.2297150143418
Parametric (2015-2025),2289.6491193500506,3266.579087530193
Historical (2015-2025),2206.893582290342,3867.302947310999
MC Normal (2015-2025),2287.6930830893525,3278.4827733698844
MC t-Student (2015-2025),2148.0279633222503,3674.6513425685043
